Year,Country,Pilgrimage_Type,Total_Pilgrims,Male_Percentage,Female_Percentage,Average_Age,Average_Travel_Cost_USD,Visa_Approval_Rate,Flights_Arranged,Hotels_Booked,Satisfaction_Rating,Economic_Impact_USD
2000,Kazakhstan,Umrah,402710,52.69,47.31,48.4,3791.67,97.55,80,207,4.96,2113593529.52
2000,Kazakhstan,Ziyarat,393439,54.35,45.65,46.4,3253.86,98.74,78,81,4.89,1471772379.88
2000,Azerbaijan,Hajj,308988,61.61,38.39,31.6,1992.93,81.14,444,250,4.91,816666134.83
2000,Azerbaijan,Umrah,479628,46.16,53.84,57.1,10779.75,96.9,397,250,3.35,4633813163.02
2000,Azerbaijan,Ziyarat,261689,54.82,45.18,57.9,10923.08,83.44,288,129,4.5,1528885254.22
2000,Bosnia and Herzegovina,Hajj,107979,56.6,43.4,30.7,10713.34,77.7,495,38,4.78,1683920564.9
2000,Bosnia and Herzegovina,Umrah,293075,45.71,54.29,37.9,11281.69,91.32,245,133,3.75,2512035700.76
2000,Bosnia and Herzegovina,Ziyarat,140044,45.98,54.02,44.0,11602.28,73.17,303,90,3.12,2246987178.85
2000,Netherlands,Hajj,382149,56.85,43.15,52.7,5152.0,89.66,366,246,4.47,2010689623.47
2000,Netherlands,Umrah,24623,49.91,50.09,32.7,3184.2,79.69,64,190,4.36,87704229.12
2000,Netherlands,Ziyarat,138541,48.78,51.22,54.4,11593.81,83.5,50,32,3.01,2120122538.98
2000,Sweden,Hajj,475452,59.87,40.13,32.8,10088.65,94.13,496,21,3.01,3775161273.39
2000,Sweden,Umrah,458677,51.53,48.47,44.8,2716.36,80.92,467,172,3.26,975991933.2
2000,Sweden,Ziyarat,34257,53.64,46.36,53.2,5617.59,75.21,56,287,4.87,228598843.58
2000,Norway,Hajj,383097,63.95,36.05,33.0,9595.34,90.55,393,202,3.12,2112545627.78
2000,Norway,Umrah,335033,64.8,35.2,48.3,6182.56,88.78,455,16,3.13,2737331205.51
2000,Norway,Ziyarat,36598,54.77,45.23,51.1,8674.6,82.93,449,235,4.99,294037566.57
2000,Denmark,Hajj,404756,62.08,37.92,43.8,10172.17,78.65,307,139,4.55,3005811219.87
2000,Denmark,Umrah,475474,50.47,49.53,56.5,3086.11,82.54,40,93,3.8,1136056341.6
2000,Denmark,Ziyarat,395530,51.24,48.76,37.6,9106.44,91.63,182,290,4.43,3827888600.45
2000,Belgium,Hajj,421235,54.46,45.54,57.0,3448.02,95.19,328,17,4.54,1953199072.55
2000,Belgium,Umrah,166779,45.36,54.64,51.9,4588.76,96.44,397,55,3.92,383597136.32
2000,Belgium,Ziyarat,265550,47.5,52.5,48.6,6018.21,75.82,463,223,4.16,1228955786.16
2000,Switzerland,Hajj,321759,53.66,46.34,57.5,3070.6,83.47,497,104,4.44,1143092166.89
2000,Switzerland,Umrah,439904,62.2,37.8,51.4,1916.0,83.93,107,50,3.48,1253042581.86
2000,Switzerland,Ziyarat,174631,45.37,54.63,42.5,3708.67,80.03,443,251,3.65,659119674.48
2000,Austria,Hajj,425640,62.65,37.35,30.5,10157.4,80.38,122,203,4.95,3030091200.65
2000,Austria,Umrah,343041,61.01,38.99,34.0,3258.57,73.03,478,132,3.06,1605431241.68
2000,Austria,Ziyarat,397550,57.26,42.74,37.0,11319.62,97.47,367,93,3.68,5916864126.02
2001,Pakistan,Hajj,162702,58.22,41.78,44.6,7773.5,92.73,402,12,3.08,839802637.58
2001,Pakistan,Umrah,41877,46.63,53.37,29.8,4094.58,74.63,320,252,3.44,253064736.14
2001,Pakistan,Ziyarat,450795,59.89,40.11,54.2,6053.38,71.27,319,91,3.04,3147062688.67
2001,Saudi Arabia,Hajj,173484,64.93,35.07,57.2,8328.42,75.79,54,102,3.84,1016563400.52
2001,Saudi Arabia,Umrah,428243,48.48,51.52,56.8,5867.03,94.54,312,13,4.47,3185174686.63
2001,Saudi Arabia,Ziyarat,366403,45.8,54.2,54.0,7576.09,82.72,136,237,4.75,3888211251.76
2001,India,Hajj,391821,58.1,41.9,57.8,4480.47,80.42,150,246,3.93,2345401028.01
2001,India,Umrah,324200,47.63,52.37,49.5,11044.84,75.21,447,23,4.94,2438399457.88
2001,India,Ziyarat,69324,46.38,53.62,41.1,2522.63,81.75,33,240,3.72,191133935.67
2001,Indonesia,Hajj,313037,58.04,41.96,37.4,5689.98,94.88,280,173,4.94,1698865389.4
2001,Indonesia,Umrah,385298,62.67,37.33,41.3,4974.34,83.01,351,266,3.9,2085042724.91
2001,Indonesia,Ziyarat,421715,59.14,40.86,33.0,3260.0,71.06,440,184,4.33,1339913658.84
2001,Malaysia,Hajj,237944,59.11,40.89,41.4,10574.27,86.19,270,139,3.25,1839586864.42
2001,Malaysia,Umrah,267425,45.79,54.21,31.7,6248.09,97.08,344,170,4.01,904911635.91
2001,Malaysia,Ziyarat,124273,52.95,47.05,42.4,8702.66,70.5,236,294,4.74,1032556563.6
2001,Turkey,Hajj,404854,55.43,44.57,38.3,7088.57,73.65,145,243,4.47,1900927353.25
2001,Turkey,Umrah,128008,59.62,40.38,32.7,3962.89,97.94,194,299,4.32,750082479.47
2001,Turkey,Ziyarat,130354,58.66,41.34,42.9,7987.4,95.2,251,85,3.23,1348871847.45
2001,Bangladesh,Hajj,428875,58.53,41.47,34.5,8418.3,81.42,88,99,3.7,2380290345.69
2001,Bangladesh,Umrah,415303,45.96,54.04,57.3,5772.53,95.25,92,254,4.13,2968995006.28
2001,Bangladesh,Ziyarat,424139,58.01,41.99,51.0,11219.59,82.71,101,288,3.87,6271132460.41
2001,Egypt,Hajj,399583,50.94,49.06,47.5,4948.0,88.28,218,152,4.39,1756800817.89
2001,Egypt,Umrah,371040,56.93,43.07,44.4,6166.4,70.43,286,119,4.29,2881355965.27
2001,Egypt,Ziyarat,344720,52.6,47.4,53.9,6950.36,83.9,136,230,3.68,2108885415.84
2001,Nigeria,Hajj,86889,55.53,44.47,35.4,6505.3,81.44,362,30,3.39,286894337.83
2001,Nigeria,Umrah,64182,46.43,53.57,56.6,8374.28,81.02,343,286,3.96,373309845.49
2001,Nigeria,Ziyarat,313557,54.72,45.28,35.7,4491.17,78.91,258,165,4.08,1142514162.64
2001,Iran,Hajj,452907,59.35,40.65,40.0,11755.62,93.87,369,272,4.36,3628115813.91
2001,Iran,Umrah,77588,48.69,51.31,36.9,9830.78,75.37,459,45,3.85,447764296.66
2001,Iran,Ziyarat,326333,56.0,44.0,29.3,8148.09,97.59,394,127,4.03,2907708835.05
2001,Iraq,Hajj,188321,49.24,50.76,46.3,5815.8,94.36,91,161,3.71,807048100.68
2001,Iraq,Umrah,39084,51.04,48.96,50.0,10437.33,89.47,364,155,4.53,265035432.6
2001,Iraq,Ziyarat,265337,48.06,51.94,35.1,10627.23,83.71,168,159,3.05,3220128183.9
2001,Afghanistan,Hajj,169827,49.12,50.88,47.1,4197.28,88.33,460,263,3.28,552101177.46
2001,Afghanistan,Umrah,9358,58.9,41.1,40.1,5996.1,90.81,260,289,3.26,33897500.89
2001,Afghanistan,Ziyarat,415841,51.74,48.26,55.2,9612.54,77.68,248,173,3.38,3291253467.45
2001,United Arab Emirates,Hajj,408322,51.87,48.13,46.5,6145.3,94.12,463,14,3.14,2860979870.25
2001,United Arab Emirates,Umrah,130703,62.6,37.4,47.5,7096.06,79.41,278,139,4.99,1077578348.06
2001,United Arab Emirates,Ziyarat,194648,64.91,35.09,41.4,5002.48,86.83,461,45,4.92,1105136390.67
2001,Qatar,Hajj,336054,49.02,50.98,44.1,2515.1,83.06,419,21,3.7,984594357.65
2001,Qatar,Umrah,175963,54.5,45.5,39.5,2758.2,98.25,137,14,4.47,615703683.83
2001,Qatar,Ziyarat,23752,61.84,38.16,43.6,8047.65,72.58,250,297,3.26,253474887.37
2001,Kuwait,Hajj,201133,48.19,51.81,29.9,2735.31,76.59,256,75,3.76,465613320.43
2001,Kuwait,Umrah,183936,56.08,43.92,37.2,5668.31,82.97,215,271,4.84,1039440376.4
2001,Kuwait,Ziyarat,402653,56.33,43.67,39.7,6762.11,81.52,185,91,4.26,3197375471.76
2001,Jordan,Hajj,50033,62.36,37.64,52.2,9795.32,78.84,92,172,3.35,585632677.64
2001,Jordan,Umrah,135513,64.15,35.85,45.2,11293.67,86.68,272,298,4.85,1510638157.36
2001,Jordan,Ziyarat,227317,62.97,37.03,52.9,4834.08,97.63,409,34,4.33,683234618.03
2001,Morocco,Hajj,368412,45.52,54.48,32.1,11612.71,85.94,307,137,3.86,3473161883.03
2001,Morocco,Umrah,169685,62.52,37.48,36.3,10440.21,70.01,62,263,4.21,1532030720.0
2001,Morocco,Ziyarat,470182,46.23,53.77,51.4,6327.9,71.69,286,187,3.12,3555546105.15
2001,Algeria,Hajj,161104,53.61,46.39,33.1,2283.61,92.7,390,272,4.38,206866424.61
2001,Algeria,Umrah,102539,57.66,42.34,34.9,3942.78,76.4,240,133,4.7,494977740.75
2001,Algeria,Ziyarat,440684,62.73,37.27,41.5,3543.54,80.67,111,23,3.35,1385245675.94
2001,Tunisia,Hajj,336396,45.22,54.78,40.5,6554.11,70.56,98,158,4.52,1404684435.48
2001,Tunisia,Umrah,141614,57.38,42.62,37.7,10260.19,88.25,200,182,3.09,1266144925.44
2001,Tunisia,Ziyarat,451960,55.96,44.04,41.6,10365.75,72.84,301,205,4.73,3483123183.18
2001,Libya,Hajj,431577,54.52,45.48,39.3,5642.0,83.32,40,51,4.78,3543678013.86
2001,Libya,Umrah,168856,58.17,41.83,56.3,9993.28,72.22,116,19,4.86,1270729842.61
2001,Libya,Ziyarat,187503,54.23,45.77,47.1,8423.22,95.96,219,88,4.78,1501388741.52
2001,Sudan,Hajj,61492,48.0,52.0,50.1,6878.33,89.73,352,209,3.17,514458899.27
2001,Sudan,Umrah,274932,61.04,38.96,31.2,1873.49,84.75,251,237,3.7,656551539.69
2001,Sudan,Ziyarat,130426,48.7,51.3,33.2,2533.15,89.15,371,17,3.53,172114287.76
2001,Somalia,Hajj,83815,55.29,44.71,55.0,9716.09,76.61,348,58,3.51,619489982.05
2001,Somalia,Umrah,178672,57.88,42.12,43.9,1940.49,98.09,168,173,3.59,513122332.19
2001,Somalia,Ziyarat,326909,54.72,45.28,55.6,6968.07,87.88,245,20,3.09,1391374602.42
2001,Yemen,Hajj,94489,49.49,50.51,39.2,6036.81,82.74,492,123,4.89,422500114.91
2001,Yemen,Umrah,182876,58.52,41.48,42.9,1633.51,98.78,141,41,3.63,412028616.13
2001,Yemen,Ziyarat,42643,63.38,36.62,35.6,9427.94,83.36,411,247,4.55,464818270.62
2001,United States,Hajj,265298,51.4,48.6,50.6,4327.98,85.65,288,267,3.26,1407675573.59
2001,United States,Umrah,160930,64.3,35.7,42.7,3082.1,79.93,297,180,4.52,616741123.67
2001,United States,Ziyarat,13706,50.95,49.05,45.0,8733.3,95.33,386,290,4.52,79009657.07
2001,United Kingdom,Hajj,46321,56.16,43.84,52.4,9287.98,95.56,407,113,3.39,593636406.8
2001,United Kingdom,Umrah,389865,49.08,50.92,44.7,9197.25,87.86,430,75,3.71,4603274063.26
2001,United Kingdom,Ziyarat,122235,55.48,44.52,53.4,10319.62,94.15,481,23,4.5,1587717999.55
2001,Canada,Hajj,151451,51.54,48.46,32.5,4708.84,95.42,120,195,3.74,676509760.12
2001,Canada,Umrah,112539,60.61,39.39,34.5,2947.14,89.23,329,211,4.24,283739817.01
2001,Canada,Ziyarat,38848,52.75,47.25,40.1,10679.76,84.79,22,225,3.21,300975338.52
2001,Australia,Hajj,273787,56.21,43.79,46.1,8602.91,93.34,178,197,4.65,2351256415.36
2001,Australia,Umrah,142069,47.98,52.02,48.9,9332.21,98.48,136,201,4.04,1158052207.37
2001,Australia,Ziyarat,272613,51.56,48.44,41.0,2430.3,76.4,270,260,4.53,817309190.74
2001,Germany,Hajj,26621,57.85,42.15,40.6,8179.86,92.78,494,207,4.98,271589614.73
2001,Germany,Umrah,412688,64.01,35.99,34.1,7438.27,98.41,278,116,3.05,4087890132.91
2001,Germany,Ziyarat,171597,55.36,44.64,37.0,11377.13,77.52,321,78,4.68,1339463020.53
2001,France,Hajj,138168,53.7,46.3,56.1,8913.2,88.3,145,240,4.81,1735690824.68
2001,France,Umrah,269983,59.59,40.41,51.0,3168.54,87.7,207,66,4.5,989719526.93
2001,France,Ziyarat,312747,45.27,54.73,36.5,1968.25,71.05,410,172,3.55,792309163.94
2001,Italy,Hajj,448273,50.44,49.56,50.8,6222.27,92.52,63,237,3.07,1569394874.0
2001,Italy,Umrah,285825,56.24,43.76,38.4,4809.49,92.38,89,136,3.47,1694213353.74
2001,Italy,Ziyarat,446546,64.27,35.73,44.8,11336.64,71.52,395,151,4.46,7498816545.0
2001,Spain,Hajj,264153,47.9,52.1,49.8,3507.5,79.81,390,170,3.3,672018210.31
2001,Spain,Umrah,486769,46.78,53.22,48.5,7223.61,98.43,80,37,4.45,1996052192.7
2001,Spain,Ziyarat,311773,55.98,44.02,46.4,3874.54,94.56,349,14,4.89,1630739144.53
2001,China,Hajj,335817,46.95,53.05,53.9,6331.7,91.73,95,68,3.92,1173621130.57
2001,China,Umrah,105158,54.95,45.05,38.2,10657.42,85.8,87,223,3.04,701850738.37
2001,China,Ziyarat,363478,62.59,37.41,54.1,4007.36,83.09,77,293,4.54,767865317.0
2001,Japan,Hajj,86816,46.88,53.12,38.3,4465.52,81.33,246,271,3.74,368952475.58
